encoder,speed
2.940845,-18.446520
2.888112,-18.213028
2.884555,-19.371037
2.703656,-19.459333
2.718310,-19.623972
2.558404,-19.449213
2.497618,-19.015709
2.488117,-19.774122
2.401447,-18.946241
2.328104,-19.177149
2.250925,-18.138039
2.184676,-17.929337
2.052380,-17.704157
0.514219,-17.628035
1.992641,-18.876513
1.835850,-18.752991
1.833203,-19.180962
1.681014,-18.823971
1.594155,-19.173206
1.521913,-19.349926
1.518066,-19.349926
1.359503,-19.647039
1.360545,-19.647039
1.224847,-18.138647
1.171443,-17.711033
1.087605,-18.161192
1.015603,-18.958858
0.940431,-18.929585
0.851708,-19.528353
0.782389,-18.951275
0.700107,-19.502419
0.622041,-19.378572
0.535900,-19.767536
0.464526,-19.387903
0.396245,-18.561523
0.319979,-18.518398
0.265435,-17.866434
0.191636,-18.290400
0.114476,-18.663904
0.030157,-19.381916
6.231263,-19.361458
6.175145,-18.698429
6.071127,-19.595594
6.019734,-18.876520
5.915812,-19.558622
5.862980,-19.003141
5.792609,-18.500845
5.690892,-17.772346
5.685896,-17.522488
5.564242,-18.082815
5.520998,-18.266733
5.416117,-18.971905
5.362327,-18.893044
5.258980,-18.901276
5.212380,-18.785702
5.107691,-18.665007
5.061284,-19.402552
4.978736,-18.552691
4.878649,-18.347141
4.838665,-17.694595
4.771841,-18.047167
4.706167,-18.303850
4.605217,-18.539646
4.559480,-19.628124
4.438204,-19.284286
4.397453,-19.662529
4.284135,-19.359274
4.210600,-19.890903
4.155372,-19.614780
4.079823,-18.991680
3.988142,-19.026299
3.931507,-17.864258
3.868517,-18.246086
3.784439,-18.537464
3.717519,-19.165009
3.631808,-19.885178
3.548206,-19.618607
3.455402,-20.162792
3.400941,-19.472134
3.298649,-20.195641
3.226357,-19.726934
3.149754,-19.697796
3.088201,-18.811075
3.021377,-17.851131
2.938928,-18.452053
2.885524,-18.328465
2.806813,-19.138515
2.720719,-19.463688
2.625710,-19.636023
2.576426,-19.434093
2.484486,-19.021770
2.395230,-19.721249
2.340002,-19.049246
2.253430,-19.356979
2.174526,-18.368031
2.124094,-18.112175
2.054681,-17.769957
1.997140,-17.557129
1.908813,-18.730930
1.829764,-18.674101
1.756037,-19.199499
1.675311,-18.757051
1.601009,-19.282234
1.521433,-19.422512
1.441091,-19.264135
1.365255,-19.662828
1.298620,-18.254622
1.221924,-18.060356
1.225747,-18.060356
1.094938,-18.342468
1.009133,-19.037434
0.937004,-19.057865
0.854656,-19.770462
0.781814,-18.798344
0.699915,-19.475637
0.617272,-19.249897
0.538464,-19.623402
0.466479,-19.357859
0.394580,-18.437901
0.321740,-18.613232
0.265723,-18.015289
0.191858,-18.480967
0.115156,-18.747124
0.030765,-19.461590
6.222275,-19.378895
6.174953,-18.735336
6.071702,-19.442896
6.020309,-18.790970
5.915428,-19.383530
5.865089,-18.929075
5.792896,-18.466331
5.691371,-17.909124
5.685992,-17.625114
5.566256,-18.552116
5.522628,-18.607864
5.415255,-19.357157
5.361848,-19.022739
5.258405,-19.121376
5.211805,-18.895493
5.105966,-18.832567
5.060325,-19.484123
4.978161,-18.610800
4.879799,-18.440044
4.838377,-17.663345
4.772703,-18.009104
4.708372,-18.240105
4.605696,-18.511889
4.528038,-19.918066
4.468592,-19.273291
4.396782,-19.715914
4.283752,-19.386847
4.240891,-19.815567
4.125656,-19.548140
4.078098,-18.984621
3.987855,-18.822742
3.931602,-17.677471
3.869668,-18.158800
3.802269,-18.362171
3.703332,-19.255949
3.631328,-19.872337
3.547151,-19.466022
3.455690,-20.147758
3.401229,-19.377869
3.298744,-20.179993
3.225590,-19.624287
3.148987,-19.633636
3.089351,-18.689106
3.020705,-17.776443
2.939311,-18.464399
2.888400,-18.490891
2.805471,-19.336639
2.704231,-19.713858
2.638938,-19.521126
2.560322,-19.286362
2.499727,-19.088606
2.393792,-19.738605
2.338659,-19.002077
2.253238,-19.197134
2.190151,-18.107834
2.109427,-17.868023
2.055065,-17.587170
1.998483,-17.522577
1.908333,-18.632975
1.840740,-18.550259
1.751388,-19.105080
1.684945,-18.780708
1.604940,-19.253956
1.516689,-19.419849
1.443200,-19.264542
1.366693,-19.683086
1.299771,-18.214165
1.230407,-18.071266
1.164876,-17.964386
1.098101,-18.349031
1.018959,-19.059643
0.937531,-19.156322
0.852379,-19.828945
0.783252,-19.014877
0.701066,-19.413197
0.624342,-19.292336
0.541148,-19.742067
0.465053,-19.308119
0.398163,-18.449427
0.321896,-18.561449
0.268826,-18.023653
0.194578,-18.448645
0.116595,-18.837679
0.032609,-19.424664
6.234928,-19.407381
6.177446,-18.845652
6.074387,-19.467548
6.023185,-18.990068
5.917537,-19.472557
5.866144,-18.910534
5.793855,-18.382364
5.724442,-17.760220
5.656947,-17.634783
5.567502,-18.427105
5.524737,-18.502386
5.417843,-19.404512
5.364244,-19.089016
5.258213,-19.129604
5.213243,-18.833698
5.107883,-18.921156
5.061284,-19.514818
4.979503,-18.542391
4.881238,-18.429710
4.838377,-17.779917
4.772607,-17.911409
4.709810,-18.279383
4.640206,-18.687199
4.531298,-19.975136
4.441944,-19.403175
4.398987,-19.829252
4.285478,-19.462399
4.243768,-20.024292
4.125560,-19.666224
4.080590,-19.057108
3.988478,-18.961433
3.933328,-17.743450
3.870339,-18.083004
3.804378,-18.299656
3.705249,-19.352032
3.635163,-19.948378
3.549931,-19.576166
3.458758,-20.181784
3.402954,-19.445343
3.300758,-20.156212
3.226453,-19.821747
3.150521,-19.562582
3.088968,-18.597202
3.022144,-17.811745
2.940462,-18.378616
2.889454,-18.085617
2.808060,-19.175255
2.722253,-19.371553
2.626381,-19.673729
2.639693,-19.329102
2.484390,-19.075199
2.490897,-19.744072
2.339426,-19.112539
2.330500,-19.323784
2.250925,-18.385410
2.184868,-18.136284
2.051709,-17.894039
0.514291,-17.677151
1.991107,-18.883331
1.829188,-18.744547
1.754407,-19.251768
1.673969,-18.842995
1.601488,-19.103558
1.522200,-19.493248
1.438503,-19.303741
1.361804,-19.647007
1.289945,-18.197308
1.226285,-18.195675
1.162288,-18.012306
1.093500,-18.514826
1.092386,-18.514826
0.934511,-19.045345
0.937358,-19.045345
0.781406,-18.880981
0.696297,-19.539957
0.620603,-19.324789
0.538368,-19.845173
0.464238,-19.306995
0.397815,-18.476263
0.320937,-18.562538
0.262488,-18.024824
0.193062,-18.184877
0.114372,-18.782524
0.031602,-19.408754
6.237209,-19.345591
6.176392,-18.682104
6.072757,-19.394207
6.020692,-18.809963
5.916195,-19.358351
5.862980,-18.855629
5.792321,-18.514347
5.690508,-17.648096
5.686088,-17.446445
5.564242,-18.258450
5.520903,-18.569832
5.414583,-19.035643
5.361944,-18.905886
5.257542,-19.047646
5.211997,-18.923689
5.105966,-18.813610
5.060325,-19.418447
4.977682,-18.581694
4.880374,-18.331198
4.837131,-17.767220
4.771073,-17.919073
4.706167,-18.304829
4.606463,-18.442810
4.561877,-19.893929
4.440506,-19.271103
4.398891,-19.701145
4.284327,-19.315474
4.209737,-19.903847
4.154797,-19.579678
4.080207,-19.079468
3.987423,-19.057159
3.931219,-17.794699
3.868805,-18.340401
3.785301,-18.421268
3.717519,-19.239777
3.632383,-19.846521
3.548781,-19.438889
3.457511,-20.210976
